File name;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results
Namee only/vacuum_gripper_huggingface_novita_MiniMaxAI_MiniMax-M3_20260703_10_45_24;-3297,04557089817;6802,92657542611;2640,36670084783;2046,076;2519,664;600,683;Yes;No;No
Namee only/vacuum_gripper_huggingface_novita_MiniMaxAI_MiniMax-M3_20260703_10_47_36;-145,876343129281;454,807971184799;5119,87971736563;1329,187;1075,469;1164,771;Yes;No;No
Namee only/vacuum_gripper_huggingface_novita_MiniMaxAI_MiniMax-M3_20260703_10_50_07;-3297,04557089819;6802,92657542629;2639,7215836458;2046,076;2519,664;600,536;Yes;No;No
Namee only/vacuum_gripper_huggingface_novita_MiniMaxAI_MiniMax-M3_20260703_10_51_10;-10,9658612593512;357,224960182077;3334,34141521169;1298,494;1053,269;758,562;Yes;No;No
Namee only/vacuum_gripper_huggingface_novita_MiniMaxAI_MiniMax-M3_20260703_10_54_05;-12,9016991084342;275,216572365747;813,30741847295;1298,935;1034,612;185,027;Yes;No;No
Namee only/vacuum_gripper_huggingface_novita_MiniMaxAI_MiniMax-M3_20260703_10_55_59;-;-;-;-;-;-;No;No;No
Namee only/vacuum_gripper_huggingface_novita_MiniMaxAI_MiniMax-M3_20260703_10_58_48;-3,68191050342293;254,6598469575;790,29087177851;1296,837;1029,935;179,791;Yes;No;No
Namee only/vacuum_gripper_huggingface_novita_MiniMaxAI_MiniMax-M3_20260703_11_01_40;27,0161481076654;315,108024523853;523,410675826786;1289,854;1043,687;119,076;Yes;No;No
Namee only/vacuum_gripper_huggingface_novita_MiniMaxAI_MiniMax-M3_20260703_11_02_47;-51,6449804751952;424,96779249347;3219,62580931734;1307,749;1068,68;732,464;Yes;No;No

Type;Model;Total;Detected;Succeeded;Success rate[%]
Full;Qwen Qwen3.6-35B-A3B;10;9;6;60
Full;zai-org GLM-4.5V;10;5;2;20
Full;google gemma-4-31B-it;10;10;4;40
Full;deepinfra meta-llama Llama-4-Scout-17B-16E-Instruct;10;4;0;0
Full;featherless-ai stepfun-ai Step-3.7-Flash;10;3;2;20
Full;novita MiniMaxAI MiniMax-M3;10;10;0;0
Namee only;Qwen Qwen3.6-35B-A3B;10;9;6;60
Namee only;zai-org GLM-4.5V;10;2;1;10
Namee only;google gemma-4-31B-it;10;8;2;20
Namee only;featherless-ai stepfun-ai Step-3.7-Flash;10;1;1;10
Namee only;novita MiniMaxAI MiniMax-M3;10;9;0;0

File name;Circle candidates;Ideal circle found;Rated OK;Selected candidate;Max error px;Note
Full specs/...google_gemma-4-31B-it_20260625_12_03_47;2;No;No;1;12,217;"Many results; no ideal circle within +/-6 px"
Full specs/...google_gemma-4-31B-it_20260625_12_20_01;4;Yes;Yes;1;4,539;"Many results; ideal circle found"
Full specs/...Step-3.7-Flash_20260703_11_49_51;8;Yes;Yes;5;1,653;"Many results; ideal circle found"
Name only/...google_gemma-4-31B-it_20260625_12_50_47;14;No;No;6;141,916;"Many results; no ideal circle within +/-6 px"
Name only/...google_gemma-4-31B-it_20260625_12_59_06;6;Yes;Yes;2;4,2;"Many results; ideal circle found"
Name only/...Step-3.7-Flash_20260703_12_12_59;5;Yes;Yes;2;2,358;"Many results; ideal circle found"
new prompt1 name only/...MiniMax-M3_20260707_11_30_27;3;Yes;Yes;1;0,992;"Many results; ideal circle found"

Source;Model;Total;Detected;Succeeded;Success rate
new prompt full specs;Qwen Qwen3.6-35B-A3B;5;4;2;40
new prompt full specs;google gemma-4-31B-it;10;10;9;90
new prompt full specs;novita moonshotai Kimi-K2.5;10;9;7;70
new prompt full specs;novita zai-org GLM-4.5V;5;4;3;60
new prompt name only;Qwen Qwen3.6-35B-A3B;5;4;3;60
new prompt name only;google gemma-4-31B-it;10;10;10;100
new prompt name only;novita MiniMaxAI MiniMax-M3;5;2;0;0

File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results
new prompt 1full specs/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260707_12_18_36;TRUE;4,65035;289,956837;974,121044;1294,942;1037,965;221,612;Yes;Yes;No
new prompt 1full specs/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260707_12_18_58;TRUE;4133,986297;4238,844343;134,023917;355,519;1936,336;30,49;Yes;No;No
new prompt 1full specs/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260707_12_19_21;TRUE;4,428259;289,972419;971,050306;1294,992;1037,969;220,914;Yes;Yes;No
new prompt 1full specs/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260707_12_19_45;TRUE;4,300775;289,965732;968,948425;1295,021;1037,967;220,435;Yes;Yes;No
new prompt 1full specs/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260707_12_20_15;TRUE;85,058726;-1789,188952;2347,266436;1276,649;564,96;534,002;Yes;No;No
new prompt 1full specs/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260717_10_06_04;TRUE;45,789037;4238,048581;354,294259;1285,583;1936,155;80,602;Yes;No;No
new prompt 1full specs/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260717_10_06_57;TRUE;5,472413;285,984134;995,491256;1294,755;1037,061;226,474;Yes;Yes;Yes
new prompt 1full specs/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260717_10_07_27;TRUE;45,789037;4238,048581;354,294259;1285,583;1936,155;80,602;Yes;No;No
new prompt 1full specs/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260717_10_07_45;TRUE;4,301389;289,923573;968,927317;1295,021;1037,958;220,431;Yes;Yes;No
new prompt 1full specs/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260717_10_08_06;TRUE;4,65035;289,956837;974,121044;1294,942;1037,965;221,612;Yes;Yes;No

File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results
new prompt 1full specs/vacuum_gripper_huggingface_novita_MiniMaxAI_MiniMax-M3_20260707_10_55_47;TRUE;17,41227;325,679951;3362,633408;1292,038;1046,092;764,998;Yes;No;No
new prompt 1full specs/vacuum_gripper_huggingface_novita_MiniMaxAI_MiniMax-M3_20260707_10_56_58;TRUE;4,428839;289,96327;971,03289;1294,992;1037,967;220,91;Yes;Yes;No
new prompt 1full specs/vacuum_gripper_huggingface_novita_MiniMaxAI_MiniMax-M3_20260707_10_58_23;TRUE;4,428421;289,973828;971,05232;1294,992;1037,969;220,914;Yes;Yes;No
