Results Summary — New Prompt — Name Only;;;;;;;;;;;
Model;Total;Detected;Succeeded;Success rate;Many-result runs;;;;;;
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_openai_gpt-5_20260731_11_59_55;Yes;4,422;290,237;969,212;1294,994;1038,029;220,495;Yes;Yes;No;
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_openai_gpt-5_20260731_12_01_46;Yes;4,091;288,351;955,903;1295,069;1037,6;217,468;Yes;Yes;Yes;
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_openai_gpt-5_20260731_12_03_31;Yes;6,061;283,241;950,796;1294,621;1036,437;216,306;Yes;Yes;Yes;
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_openai_gpt-5_20260731_12_05_45;Yes;5,4;289,941;984,834;1294,771;1037,961;224,049;Yes;Yes;No;
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_openai_gpt-5_20260731_12_07_39;Yes;-15,257;479,867;771,261;1299,471;1081,17;175,462;Yes;No;No;Outside ±6 px tolerance: y_px, r_px
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_openai_gpt-5_20260731_12_11_36;Yes;4,294;290,477;976,2;1295,023;1038,084;222,085;Yes;Yes;No;
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_openai_gpt-5_20260731_12_13_17;Yes;2,539;292,766;959,315;1295,422;1038,604;218,244;Yes;Yes;No;
;;;;;;;;;;;
openai / gpt-5-mini;;;;;;;;;;;
File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results;Failure cause
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_openai_gpt-5-mini_20260717_16_59_03;Yes;-49,38;431,571;3216,001;1307,234;1070,182;731,639;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_openai_gpt-5-mini_20260717_17_02_33;Yes;-38,964;420,223;3238,396;1304,864;1067,601;736,734;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_openai_gpt-5-mini_20260717_17_04_52;Yes;178,879;158,455;2996,175;1255,305;1008,048;681,629;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_openai_gpt-5-mini_20260717_17_08_35;Yes;113,099;289,682;2477,316;1270,27;1037,903;563,588;Yes;No;No;Outside ±6 px tolerance: x_px, r_px
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_openai_gpt-5-mini_20260717_17_13_02;Yes;305,493;242,626;2610,707;1226,5;1027,197;593,935;Yes;No;Yes;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_openai_gpt-5-mini_20260717_17_16_14;Yes;-47,889;437,51;3210,921;1306,894;1071,533;730,483;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_openai_gpt-5-mini_20260717_17_17_57;No;-;-;-;-;-;-;No;No;No;"vision_ok is false; no circle detected"
